id,name,bic,street,city,zip,country:id
ABALIDBSXXX,PT. BANK PEMBANGUNAN DAERAH BALI,ABALIDBSXXX,BANK BPD BALI,DENPASAR,80235,base.id
ABNAIDJASBA,THE ROYAL BANK OF SCOTLAND N.V. JAKARTA BRANCH (SURABAYA BRANCH),ABNAIDJASBA,,SURABAYA,,base.id
ABNAIDJAXXX,THE ROYAL BANK OF SCOTLAND N.V. JAKARTA BRANCH,ABNAIDJAXXX,INDONESIA STOCK EXCHANGE BLDG TOWERFLOOR 11 JL. JENDRAL SUDIRMAN KAV 52-53,JAKARTA,12910,base.id
ABPEIDJ1XXX,ABADI PRISMA EKAMANDIRI PT,ABPEIDJ1XXX,LIPPO LIFE BUILDING FLOOR 6 B-10 JALAN HR RASUNA SAID KAV.,JAKARTA,12910,base.id
ABSDIDJ1XXX,ABADI SEKURITAS ADIMASA PT,ABSDIDJ1XXX,70 JALAN TANAH ABANG II PUSAT,JAKARTA,,base.id
ADISIDJ1XXX,ADITHYA SECURINVEST PT,ADISIDJ1XXX,LIPPO LIFE BUILDING SUITE 610 B-10 JALAN HR RASUNA SAID,JAKARTA,12910,base.id
ADSIIDJ1XXX,PT ANTABOGA DELTA SEKURITAS INDONESIA,ADSIIDJ1XXX,GRAND WIJAYA CENTRE ROOM 36H JL. WOLTER MONGISIDI NO. 88 L,JAKARTA,12150,base.id
AEHLIDJ1XXX,PARIBAS ASIA EQUITY P.T.,AEHLIDJ1XXX,WISMA GKBI FLOOR 10 ROOM 1001 JL. JENDERAL SUDIRMAN KAV. 28,JAKARTA,10120,base.id
AGASIDJ1XXX,BANK AGUNG ASIA,AGASIDJ1XXX,WISMA DHARMALA SAKTI JALAN JENDERAL SUDIRMAN KAV. 32 SELATAN,JAKARTA,,base.id
AGCCIDJ1XXX,AGUNG CAHAYA CENDANA PT,AGCCIDJ1XXX,2 JALAN P. JAYAKARTA,JAKARTA,11110,base.id
AGRPIDJ1XXX,AGRIDHANASATYA PERMATA PT,AGRPIDJ1XXX,50GG JALAN KALIBESAR BARAT,JAKARTA,11230,base.id
