id,,model,type,name,code,company_id,default_debit_account_id,default_credit_account_id,centralisation,entry_posted,update_posted,with_last_closing_balance
account_journal_111001001,111.001.001,account.journal,cash,Kas Transit Sigesit,1001,base.main_company,chart_111001001,chart_111001001,eval=”False”,"eval=""True""","eval=""True""","eval=""True"""
account_journal_111001002,111.001.002,account.journal,cash,Kas Bandung (Ciateul),1002,base.main_company,chart_111001002,chart_111001002,eval=”False”,"eval=""True""","eval=""True""","eval=""True"""
account_journal_111001003,111.001.003,account.journal,cash,Kas Bekasi (Delta Pekayon),1003,base.main_company,chart_111001003,chart_111001003,eval=”False”,"eval=""True""","eval=""True""","eval=""True"""
account_journal_111001004,111.001.004,account.journal,cash,Kas Bogor (Tanah Sereal),1004,base.main_company,chart_111001004,chart_111001004,eval=”False”,"eval=""True""","eval=""True""","eval=""True"""
account_journal_111001005,111.001.005,account.journal,cash,Kas Purwokerto (Jatisari),1005,base.main_company,chart_111001005,chart_111001005,eval=”False”,"eval=""True""","eval=""True""","eval=""True"""
account_journal_111001006,111.001.006,account.journal,cash,Kas Semarang (Suratmo),1006,base.main_company,chart_111001006,chart_111001006,eval=”False”,"eval=""True""","eval=""True""","eval=""True"""
account_journal_111001007,111.001.007,account.journal,cash,Kas Banjarmasin (BDJ),1007,base.main_company,chart_111001007,chart_111001007,eval=”False”,"eval=""True""","eval=""True""","eval=""True"""
account_journal_111001008,111.001.008,account.journal,cash,Kas Bengkulu (Timur Indah),1008,base.main_company,chart_111001008,chart_111001008,eval=”False”,"eval=""True""","eval=""True""","eval=""True"""
account_journal_111001009,111.001.009,account.journal,cash,Kas Balikpapan (Sepinggan),1009,base.main_company,chart_111001009,chart_111001009,eval=”False”,"eval=""True""","eval=""True""","eval=""True"""
account_journal_111001010,111.001.010,account.journal,cash,Kas Jambi (P.Antasari),1010,base.main_company,chart_111001010,chart_111001010,eval=”False”,"eval=""True""","eval=""True""","eval=""True"""
account_journal_111001011,111.001.011,account.journal,cash,Kas Denpasar (Pelita),1011,base.main_company,chart_111001011,chart_111001011,eval=”False”,"eval=""True""","eval=""True""","eval=""True"""
account_journal_111001012,111.001.012,account.journal,cash,Kas Pekanbaru (Paus Ujung),1012,base.main_company,chart_111001012,chart_111001012,eval=”False”,"eval=""True""","eval=""True""","eval=""True"""
account_journal_111001013,111.001.013,account.journal,cash,Kas Palembang (Angkatan 45),1013,base.main_company,chart_111001013,chart_111001013,eval=”False”,"eval=""True""","eval=""True""","eval=""True"""
account_journal_111001014,111.001.014,account.journal,cash,Kas Surabaya (Gubeng Kertajaya),1014,base.main_company,chart_111001014,chart_111001014,eval=”False”,"eval=""True""","eval=""True""","eval=""True"""
account_journal_111001015,111.001.015,account.journal,cash,Kas Samarinda (P. Suryanata),1015,base.main_company,chart_111001015,chart_111001015,eval=”False”,"eval=""True""","eval=""True""","eval=""True"""
account_journal_111001016,111.001.016,account.journal,cash,Kas Ujung Pandang (Pelita Raya),1016,base.main_company,chart_111001016,chart_111001016,eval=”False”,"eval=""True""","eval=""True""","eval=""True"""
account_journal_111001017,111.001.017,account.journal,cash,Kas Medan (Brigjend Katamso),1017,base.main_company,chart_111001017,chart_111001017,eval=”False”,"eval=""True""","eval=""True""","eval=""True"""
account_journal_111001018,111.001.018,account.journal,cash,Kas Malang (Bandara Abdul Rahman Saleh),1018,base.main_company,chart_111001018,chart_111001018,eval=”False”,"eval=""True""","eval=""True""","eval=""True"""
account_journal_111001019,111.001.019,account.journal,cash,Kas Lampung (Teluk Betung),1019,base.main_company,chart_111001019,chart_111001019,eval=”False”,"eval=""True""","eval=""True""","eval=""True"""
